"Shkoder, Albania","Shkodran, Shkoder"
"Tirana, Albania","Tiranas, Tirons, Tirana"
"Buenos Aires, Argentina","Bonaerense, Porteño, Buenos Aires"
"Yerevan, Armenia","Yerevantsi, Yerevan"
"Adelaide, Australia","Adelaidean, Adelaide"
"Armidale, Australia","Armidilian, Armidale"
"Brisbane, Australia","Brisbanite, Brisbane"
"Cairns, Australia","Cairnsitte, Cairns"
"Canberra, Australia","Canberran, Canberra"
"Darwin, Australia","Darwinian, Darwin"
"Devonport, Australia","Devonportian, Devonport"
"Gold Coast, Australia","Gold Coast, Gold Coast"
"Hobart, Australia","Hobartian, Hobart"
"Melbourne, Australia","Melburnian, Melbourne"
"Newcastle, Australia","Novocastrian, Newcastle"
"Perth, Australia","Perth, Perth"
"Sydney, Australia","Sydney, Sydney"
"Toowoomba, Australia","Toowoomban, Toowoomba"
"Townsville, Australia","Townsvillian, Townsville"
"Graz, Austria","Grazer, Graz"
"Linz, Austria","Linzer, Linz"
"Vienna, Austria","Viennese, Wiener, Vienna"
"Brussels, Belgium","Bruxelloi, Brusselaar, Brusseleer, Brussels"
"Tournai, Belgium","Tournaisian, Tournai"
"La Paz, Bolivia","Paceno, La Paz"
"Santa Cruz de la Sierra, Bolivia","Cruceno, Santa Cruz de la Sierra"
"Sarajevo, Bosnia and Herzegovina","Sarajevan, Sarajevo"
"Belo Horizonte, Brazil","Belo-Horizontino, Belo Horizonte"
"Brasilia, Brazil","Brasiliense, Brasilia"
"Campinas, Brazil","Campineiro, Campinas"
"Curitiba, Brazil","Curitibano, Curitiba"
"Foz do Iguaçu, Brazil","Iguacuense, Foz do Iguacu"
"Itabira, Brazil","Itabirano, Itabira"
"Juiz de Fora, Brazil","Juiz-forano, Juiz de Fora"
"Londrina, Brazil","Londrinense, Londrina"
"Manaus, Brazil","Manauara, Manauense, Manaus"
"Porto Alegre, Brazil","Porto-Alegrense, Porto Alegre"
"Rio de Janeiro, Brazil","Carioca, Rio de Janeiro"
"Salvador, Brazil","Soteropolitano, Salvador"
"Sao Carlos, Brazil","Saocarlense, Carlopolitano, Sao Carlos"
"Sao Luis, Brazil","Ludovicense, Sao Luis"
"Sao Paulo, Brazil","Paulistano, Sao Paulo"
"Uberlandia, Brazil","Uberlandense, Uberlandia"
"Sofia, Bulgaria","Sofian, Sofia"
"Calgary, Canada","Calgarian, Calgary"
"Edmonton, Canada","Edmontonian, Edmonton"
"Fredericton, Canada","Frederictonian, Fredericton"
"Halifax, Canada","Haligonian, Halifax"
"Hamilton, Canada","Hamiltonian, Hamilton"
"Iqaluit, Canada","Iqalummiuq, Iqalummiut, Iqaluit"
"Kitchener, Canada","Kitchenerite, Kitchener"
"Laval, Canada","Lavalois, Laval"
"Montreal, Canada","Montreal, Montreal"
"Oakbank, Canada","Oakbankian, Oakbank"
"Ottawa, Canada","Ottawan, Ottawa"
"Quebec City, Canada","Quebecois, Quebec City"
"Red Deer, Canada","Red Deerian, Red Deer"
"Regina, Canada","Regina, Reginan, Regina"
"Saskatoon, Canada","Saskatoon, Saskatonian, Saskatoon"
"Toronto, Canada","Torontonian, Toronto"
"Trois-Rivières, Canada","Trifluvien, Trifluvienne, Trifluvian, Trois-Rivières"
"Vancouver, Canada","Vancouverite, Vancouver"
"Winnipeg, Canada","Winnipeggers, Winnipeger, Winnipeg"
"Beijing, China","Beijinger, Pekinese, Beijing"
"Hong Kong, China","Hong Kong, Hongkongish, Hongkongese, Hong Kong"
"Macau, China","Macanese, Macau"
"Shanghai, China","Shanghainese, Shanghai"
"Bogota, Colombia","Bogotan, Bogota"
"Zagreb, Croatia","Zagreber, Zagrebian, Zagreb"
"Nicosia, Cyprus","Nicosian, Nicosia"
"Prague, Czech Republic","Praguer, Prague"
"Copenhagen, Denmark","Copenhagener, Copenhagen"
"Alexandria, Egypt","Alexandrian, Alexandria"
"Cairo, Egypt","Cairene, Cairo"
"Tallinn, Estonia","Tallinner, Tallinn"
"Helsinki, Finland","Helsinkian, Helsinki"
"Bordeaux, France","Bordelais, Bordeaux"
"Lyon, France","Lyonese, Lyonnais, Lyons, Lyon"
"Marseille, France","Marseillais, Marseille"
"Nice, France","Nicois, Nice"
"Paris, France","Parisian, Paris"
"Reims, France","Remois, Cornichon, Rheims, Reims"
"Strasbourg, France","Strasbourgeois, Strasbourg"
"Trois-Rivieres, France","Trois-rivieran, Trois-Rivieres"
"Vichy, France","Vichyssois, Vichy"
"Tbilisi, Georgia","Tbilisian, Tbilisi"
"Berlin, Germany","Berliner, Berlin"
"Dresden, Germany","Dresdener, Dresden"
"Frankfurt, Germany","Frankfurter, Frankfurt"
"Hamburg, Germany","Hamburger, Hamburg"
"Hanover, Germany","Hanoverian, Hanover"
"Munich, Germany","Munchner, Munich"
"Stuttgart, Germany","Stuttgarter, Stuttgart"
"Athens, Greece","Athenian, Athens"
"Carystus, Greece","Carystian, Carystus"
"Corinth, Greece","Corinthian, Corinth"
"Epidaurus, Greece","Epidaurian, Epidaurus"
"Kastoria, Greece","Kastorian, Kastoria"
"Marathon, Greece","Marathonian, Marathon"
"Megara, Greece","Megarian, Megara"
"Pylos, Greece","Pylian, Pylos"
"Rethymno, Greece","Rethymnian, Rethymno"
"Rhodes, Greece","Rhodian, Rhodes"
"Serres, Greece","Serrean, Serres"
"Sparta, Greece","Spartan, Sparta"
"Thebes, Greece","Theban, Thebes"
"Thessaloniki, Greece","Thessalonian, Thessaloniki"
"Xanthi, Greece","Xanthian, Xanthi"
"Budapest, Hungary","Budapesti, Budapest"
"Bangalore, India","Bangalorean, Bangalore"
"Chennai, India","Chennaite, Chennai"
"Delhi, India","Delhiite, Delhi"
"Hyderabad, India","Hyderabadi, Hyderabad"
"Mumbai, India","Mumbaikar, Mumbai"
"Bandung, Indonesia","Bandungite, Bandung"
"Jakarta, Indonesia","Jakartan, Jakarta"
"Jerusalem, Israel","Jerusalemite, Jerusalem"
"Amalfi, Italy","Amalfitan, Amalfi"
"Aosta, Italy","Aostan, Aostain, Aosta"
"Benevento, Italy","Beneventan, Benevento"
"Bergamo, Italy","Bergamasque, Bergamo"
"Bologna, Italy","Bolognese, Bologna"
"Brescia, Italy","Brescian, Brescia"
"Florence, Italy","Florentine, Florence"
"Genoa, Italy","Genoese, Genoa"
"Livorno, Italy","Leghornese, Livornese, Livorno"
"Lucca, Italy","Lucchese, Lucca"
"Mantua, Italy","Mantuan, Mantua"
"Messina, Italy","Messinese, Messina"
"Milan, Italy","Milanese, Milan"
"Modena, Italy","Modenese, Modena"
"Naples, Italy","Neapolitan, Naples"
"Padua, Italy","Paduan, Padua"
"Palermo, Italy","Palermitan, Palermo"
"Parma, Italy","Parmesan, Parma"
"Perugia, Italy","Perugian, Perugia"
"Pisa, Italy","Pisan, Pisa"
"Pompeii, Italy","Pompeian, Pompeiian, Pompeii"
"Rome, Italy","Roman, Rome"
"Salerno, Italy","Salernitan, Salerno"
"Siena, Italy","Sienese, Siennese, Sienna, Siena"
"Sorrento, Italy","Sorrentine, Sorrento"
"Spoleto, Italy","Spoletian, Spoleto"
"Syracuse, Italy","Syracusan, Syracuse"
"Taranto, Italy","Tarantine, Tarentine, Taranto"
"Trent, Italy","Tridentine, Trent"
"Trieste, Italy","Triestine, Trieste"
"Turin, Italy","Turinese, Turin"
"Venice, Italy","Venetian, Venice"
"Verona, Italy","Veronese, Verona"
"Vicenza, Italy","Vicentine, Vicenza"
"Osaka, Japan","Osakan, Osaka"
"Tokyo, Japan","Edokko, Tokyoite, Tokyo"
"Pristina, Kosovo","Prishtinali, Prishtina, Pristinci, Pristevci, Pristina"
"Riga, Latvia","Rigan, Riga"
"Beirut, Lebanon","Beiruti, Beirut"
"Misrata, Libya","Misratan, Misrata"
"Tripoli, Libya","Tripolitan, Tripoli"
"Zintan, Libya","Zintani, Zintan"
"Vilnius, Lithuania","Vilnian, Vilnius"
"Skopje, Macedonia","Skopjan, Skopje"
"Kuching, Malaysia","Kuchingite, Kuching"
"Malacca, Malaysia","Malaccan, Malacca"
"Penang, Malaysia","Penangite, Penang"
"Guadalajara, Mexico","Tapatio, Guadalajara"
"Mexico City, Mexico","Capitalino, Mexico City"
"Monterrey, Mexico","Regiomontano, Monterrey"
"Veracruz, Mexico","Veracruzano, Veracruz"
"Xalapa, Mexico","Xalapeno, Xalapa"
"Syracuse, United States","Syracusian, Syracuse"
"Auckland, New Zealand","Auckland, Auckland"
"Christchurch, New Zealand","Cantabrian, Christchurch"
"Dunedin, New Zealand","Dunedin, Dunedin"
"Hamilton, New Zealand","Hamiltonian, Hamilton"
"Hastings, New Zealand","Hastingite, Hastings"
"Invercargill, New Zealand","Invercargill, Invercargill"
"Napier, New Zealand","Napieran, Napier"
"Nelson, New Zealand","Nelson, Nelson"
"Oamaru, New Zealand","Oamaru, Oamaruvian, Oamaru"
"Palmerston North, New Zealand","Palmerstonian, Palmerston North"
"Rotorua, New Zealand","Rotoruan, Rotorua"
"Wellington, New Zealand","Wellington, Wellingtonian, Wellington"
"Lagos, Nigeria","Lagosian, Lagos"
"Port Harcourt, Nigeria","Harcourtian, Port Harcourtian, Port Harcourt"
"Oslo, Norway","Oslovian, Oslo"
"Islamabad, Pakistan","Islamabadi, Islamabad"
"Karachi, Pakistan","Karachiite, Karachi"
"Lahore, Pakistan","Lahori, Lahore"
"Lima, Peru","Limeno, Lima"
"Angeles, Philippines","Angelino, Angeles"
"Cagayan de Oro, Philippines","Cagayanon, Cagayan de Oro"
"Cebu, Philippines","Cebuano, Cebu"
"Davao, Philippines","Davaoeño, Davao"
"Iloilo, Philippines","Ilonggo, Iloilo"
"Manila, Philippines","Manileno, Manila"
"Krakow, Poland","Krakovian, Cracovian, Krakow"
"Warsaw, Poland","Varsovian, Warsaw"
"Lisbon, Portugal","Lisboeta, Lisbon"
"Porto, Portugal","Portuense, Porto"
"Cork, Republic of Ireland","Cork, Cork"
"Dublin, Republic of Ireland","Dublin, Dublin"
"Galway, Republic of Ireland","Galway, Galway"
"Waterford, Republic of Ireland","Waterfordian, Waterford"
"Bucharest, Romania","Bucharestian, Bucharest"
"Moscow, Russia","Muscovite, Moscow"
"Saint Petersburg, Russia","Saint Petersburgian, Saint Petersburg"
"Kaluga, Russian Federation","Kaluzhanin, Kaluga"
"Belgrade, Serbia","Belgradian, Belgrade"
"Bratislava, Slovakia","Bratislavan, Bratislava"
"Cape Town, South Africa","Capetonian, Cape Town"
"Durban, South Africa","Durban, Durban"
"Germiston, South Africa","Germistonian, Germiston"
"Johannesburg, South Africa","Johannesburg, Johannesburg"
"Seoul, South Korea","Seoulite, Seoul"
"Almeria, Spain","Almerian, Almeriense, Urcitano, Almeria"
"Barcelona, Spain","Barcelonian, Barcelona"
"Cadiz, Spain","Cadiz"
"Cordoba, Spain","Cordobes, Cordobense, Cordoba"
"Granada, Spain","Granadino, Granadí, Iliberitano, Granada"
"Huelva, Spain","Onubense, Huelveno, Huelva"
"Jaen, Spain","Jienense, Jaenes, Aurgitano, Jaen"
"Leon, Spain","Leonese, Leon"
"Madrid, Spain","Madrilenian, Madrileno, Madrid"
"Malaga, Spain","Malagenean, Malagueno, Malacitano, Malaga"
"Ponferrada, Spain","Ponferradian, Ponferrada"
"Seville, Spain","Sevillian, Sevillano, Hispalense, Seville"
"Valencia, Spain","Valencian, Valencia"
"Valladolid, Spain","Vallisoletano, Pucelano, Pinciano, Valladolid"
"Stockholm, Sweden","Stockholmer, Stockholm"
"Bern, Switzerland","Bernese, Bern"
"Geneva, Switzerland","Genevan, Genevese, Geneva"
"Aleppo, Syria","Aleppine, Aleppo"
"Damascus, Syria","Damascene, Damascus"
"Bangkok, Thailand","Bangkokian, Bangkok"
"Nassau, The Bahamas","Nassuvian, Nassau"
"Istanbul, Turkey","Istanbulite, Istanbul"
"Izmir, Turkey","Izmirian, Izmir"
"Kiev, Ukraine","Kievan, Kiev"
"Lviv, Ukraine","Leopolitan, Lviv"
"Odessa, Ukraine","Odessit, Odessite, Odessa"
"Dubai, United Arab Emirates","Dubaite, Dubai"
"Aberdeen, United Kingdom","Aberdonian, Aberdeen"
"Armagh, United Kingdom","Armachian, Armagh"
"Bedford, United Kingdom","Bedfordian, Bedfordite, Bedford"
"Belfast, United Kingdom","Belfast, Belfast"
"Birmingham, United Kingdom","Birminghamian, Brummie, Birmingham"
"Bolton, United Kingdom","Boltonian, Bolton"
"Brighton, United Kingdom","Brightonian, Brighton"
"Bristol, United Kingdom","Bristolian, Bristol"
"Cambridge, United Kingdom","Cantabrigian, Cambridge"
"Cardiff, United Kingdom","Cardiffian, Cardiff"
"Carlisle, United Kingdom","Carlislian, Carlisle"
"Chelmsford, United Kingdom","Chelmsfordian, Chelmsford"
"Derry, United Kingdom","Derry, Derry"
"Dundee, United Kingdom","Dundonian, Dundee"
"Edinburgh, United Kingdom","Edinburgensian, Edinburgh"
"Glasgow, United Kingdom","Glaswegian, Glasgow"
"Hartlepool, United Kingdom","Hartlepudlian, Hartlepool"
"Inverness, United Kingdom","Invernessian, Inverness"
"Lancaster, United Kingdom","Lancastrian, Lancaster"
"Leeds, United Kingdom","Leodensian, Leeds"
"Liverpool, United Kingdom","Liverpudlian, Scouse, Liverpool"
"London, United Kingdom","London, London"
"Manchester, United Kingdom","Mancunian, Manchester"
"Newcastle upon Tyne, United Kingdom","Novocastrian, Geordie, Newcastle upon Tyne"
"Northampton, United Kingdom","Northamptonian, Northampton"
"Oxford, United Kingdom","Oxonian, Oxford"
"Peterborough, United Kingdom","Peterbourian, Peterborough"
"Polmont, United Kingdom","Polmontarian, Polmont"
"Reading, United Kingdom","Readingite, Reading"
"Sheffield, United Kingdom","Sheffielder, Sheffield"
"Slough, United Kingdom","Sluff, Slough"
"Solihull, United Kingdom","Silhillian, Solihull"
"Sunderland, United Kingdom","Mackem, Sunderland"
"Swindon, United Kingdom","Swindonian, Swindon"
"Winchester, United Kingdom","Wintonian, Winchester"
"Wolverhampton, United Kingdom","Wulfrunian, Wolverhampton"
"Albany, United States","Albanian, Albany"
"Albuquerque, United States","Burqueño, Albuquerque"
"Asheville, United States","Ashevillain, Asheville"
"Atlanta, United States","Atlantan, Atlanta"
"Austin, United States","Austonian, Austin"
"Baltimore, United States","Baltimorean, Baltimore"
"Baton Rouge, United States","Baton Rougean, Baton Rouge"
"Birmingham, United States","Birminghamian, Birmingham"
"Boston, United States","Bostonian, Boston"
"Buffalo, United States","Buffalonian, Buffalo"
"Cambridge, United States","Cantabrigian, Cambridge"
"Carson City, United States","Carsonite, Carson City"
"Charlotte, United States","Charlottean, Charlotte"
"Chicago, United States","Chicagoan, Chicago"
"Cincinnati, United States","Cincinnatian, Cincinnati"
"Cleveland, United States","Clevelander, Cleveland"
"Columbus, United States","Columbusite, Columbus"
"Dallas, United States","Dallasite, Dallasonian, Dallas"
"Denver, United States","Denver, Mile High, Denver"
"Detroit, United States","Detroiter, Detroit"
"East Troy, United States","East Trojan, East Troy"
"Fort Lauderdale, United States","Fort Lauderdaler, Fort Lauderdalian, Fort Lauderdale"
"Fort Wayne, United States","Fort Wayniac, Fort Wayne"
"Fresno, United States","Fresnan, Fresnoan, Fresno"
"Grand Rapids, United States","Grand Rapidian, Grand Rapids"
"Honolulu, United States","Honolulan, Honolulu"
"Houston, United States","Houstonian, Houston"
"Indianapolis, United States","Hoosier, Indianapolis"
"Jacksonville, United States","Jacksonvillian, Jaxon, Jacksonville"
"Juneau City, United States","Juneauite, Juneau City"
"Kenosha, United States","Kenoshan, Kenosha"
"Kingston, United States","Kingstonian, Kingston"
"Knoxville, United States","Knoxvillian, Knoxville"
"Las Vegas, United States","Las Vegan, Las Vegas"
"Los Angeles, United States","Angeleno, Los Angeles"
"Memphis, United States","Memphian, Memphis"
"Miami, United States","Miamian, Miami"
"Milan, United States","Milanites, Milaner, Milan"
"Milwaukee, United States","Milwaukeean, Milwaukee"
"Minneapolis, United States","Minneapolitan, Minneapolis"
"Minot, United States","Minotian, Minot"
"Muncie, United States","Munsonian, Muncie"
"Nashville, United States","Nashvillian, Nashville"
"Navarre, United States","Navarrian, Navarre"
"New Orleans, United States","New Orleanian, New Orleans"
"New York City, United States","New York, New York City"
"The Bronx, United States","Bronx, The Bronx"
"Brooklyn, United States","Brooklyn, Brooklyn"
"Manhattan, United States","Manhattan, Manhattan"
"Queens, United States","Queens, Queens"
"Staten Island, United States","Staten Island, Staten Island"
"Oakland, United States","Oaklander, Oakland"
"Omak, United States","Omakian, Omak"
"Paddock Lake, United States","Paddock Laker, Paddock Lake"
"Philadelphia, United States","Philadelphian, Philadelphia"
"Phoenix, United States","Phoenician, Phoenixer, Phoenix"
"Pittsburgh, United States","Pittsburgher, Pittsburgh"
"Portland, United States","Portlander, Portland"
"Providence, United States","Providentian, Providence"
"Randall, United States","Randallite, Randall"
"Reno, United States","Renoite, Reno"
"Richmond, United States","Richmonder, Richmond"
"Rochester, United States","Rochesterian, Rochester"
"St. Louis, United States","St. Louisan, St. Louis"
"Sacramento, United States","Sacramentan, Sacramento"
"Salem, United States","Salemite, Salem"
"Salt Lake City, United States","Salt Lake, Salt Lake City"
"San Antonio, United States","San Antonian, San Antonio"
"San Diego, United States","San Diegan, San Diego"
"San Francisco, United States","San Franciscan, San Francisco"
"San Jose, United States","San Josean, San Jose"
"Santa Clarita, United States","Santa Claritan, Santa Clarita"
"Savannah, United States","Savannaian, Savannah"
"Seattle, United States","Seattleite, Seattle"
"Silver Lake, United States","Silver Laker, Silver Lake"
"Somers, United States","Somersite, Somers"
"Trevor, United States","Trevorite, Trevor"
"Tucson, United States","Tucsonan, Tucson"
"Tulsa, United States","Tulsan, Tulsa"
"Twin Lakes, United States","Twin Laker, Twin Lakes"
"Washington D.C., United States","Washingtonian, Washington, Washington D.C."
"Wheatland, United States","Wheatlander, Wheatland"
"Wichita, United States","Wichitan, Wichita"
"Wilmot, United States","Wilmotter, Wilmot"
"Caracas, Venezuela","Caraquenian, Caracas"
"Da Lat, Vietnam","Dalatese, Da Lat"
"Hanoi, Vietnam","Hanoian, Hanoi"
"Ho Chi Minh, Vietnam","Saigonese, Ho Chi Minh"
