Abkhazia,"Abkhazia, Abkhaz, Abkhazian, Abkhazians"
Afghanistan,"Afghanistan, Afghan, Afghans"
Albania,"Albania, Albanian, Albanians"
Algeria,"Algeria, Algerian, Algerians"
American Samoa,"American Samoa, American Samoan, American Samoans"
Andorra,"Andorra, Andorran, Andorrans"
Angola,"Angola, Angolan, Angolans"
Anguilla,"Anguilla, Anguillan, Anguillans"
Antarctica,"Antarctica, Antarctic"
Antigua and Barbuda,"Antigua and Barbuda, Antiguan or Barbudan, Antiguans, Barbudans"
Argentina,"Argentina, Argentine, Argentines"
Armenia,"Armenia, Armenian, Armenians"
Aruba,"Aruba, Aruban, Arubans"
Australia,"Australia, Australian, Australians"
Austria,"Austria, Austrian, Austrians"
Azerbaijan,"Azerbaijan, Azerbaijani, Azeri, Azerbaijanis, Azeris"
The Bahamas,"Bahamas, The, Bahamian, Bahamians"
Bahrain,"Bahrain, Bahraini, Bahrainis"
Bangladesh,"Bangladesh, Bangladeshi, Bangladeshis"
Barbados,"Barbados, Barbadian, Barbadians"
Belarus,"Belarus, Belarusian, Belarusians"
Belgium,"Belgium, Belgian, Belgians"
Belize,"Belize, Belizean, Belizeans"
Benin,"Benin, Beninese, Beninois, Beninoises"
Bermuda,"Bermuda, Bermudian, Bermudan, Bermudians, Bermudans"
Bhutan,"Bhutan, Bhutanese, Bhutanese"
Bolivia,"Bolivia, Bolivian, Bolivians"
Bonaire,"Bonaire, Bonaire, Bonaire Dutch"
Bosnia and Herzegovina,"Bosnia and Herzegovina, Bosnian, Herzegovinian, Bosnians, Herzegovinians"
Botswana,"Botswana, Motswana, Botswanan, Motswana, Botswanans"
Bouvet Island,"Bouvet Island"
Brazil,"Brazil, Brazilian, Brazilians"
Brunei,"Brunei, Bruneian, Bruneians"
Bulgaria,"Bulgaria, Bulgarian, Bulgarians"
Burkina Faso,"Burkina Faso, Burkinabe, Burkinabe"
Burma,"Burma, Burmese, Burmese, Bamar"
Burundi,"Burundi, Burundian, Burundians, Barundi"
Cabo Verde,"Cabo Verde, Cabo Verdean, Cabo Verdeans"
Cambodia,"Cambodia, Cambodian, Cambodians"
Cameroon,"Cameroon, Cameroonian, Cameroonians"
Canada,"Canada, Canadian, Canadians"
Cape Verde,"Cape Verde, Cabo Verdean, Cabo Verdeans"
Cayman Islands,"Cayman Islands, Caymanian, Caymanians"
Central African Republic,"Central African Republic, Central African, Central Africans"
Chad,"Chad, Chadian, Chadians"
Chile,"Chile, Chilean, Chileans"
China,"China, Chinese, Chinese"
Taiwan,"Taiwan, Taiwan, Taiwanese"
Christmas Island,"Christmas Island, Christmas Island, Christmas Islanders"
Cocos Islands,"Cocos Islands, Cocos Island, Cocos Islanders"
Colombia,"Colombia, Colombian, Colombians"
Comoros,"Comoros, Comoran, Comorian, Comorans, Comorians"
Congo,"Congo, Congolese, Congolese"
Cook Islands,"Cook Islands, Cook Island, Cook Islanders"
Costa Rica,"Costa Rica, Costa Rican, Costa Ricans"
Croatia,"Croatia, Croatian, Croatians, Croats"
Cuba,"Cuba, Cuban, Cubans"
Curacao,"Curacao, Curacaoan, Curacaoans"
Cyprus,"Cyprus, Cypriot, Cypriots"
Czech Republic,"Czech Republic, Czech, Czechs"
Ivory Coast,"Cote d'Ivoire, Ivorian, Ivorians"
Denmark,"Denmark, Danish, Danes"
Djibouti,"Djibouti, Djiboutian, Djiboutians"
Dominican Republic,"Dominican Republic, Dominican, Dominicans"
East Timor,"East Timor, Timorese, Timorese"
Ecuador,"Ecuador, Ecuadorian, Ecuadorians"
Egypt,"Egypt, Egyptian, Egyptians"
El Salvador,"El Salvador, Salvadoran, Salvadorans"
England,"England, English, British, Englishmen"
Equatorial Guinea,"Equatorial Guinea, Equatorial Guinean, Equatoguinean, Equatorial Guineans, Equatoguineans"
Eritrea,"Eritrea, Eritrean, Eritreans"
Estonia,"Estonia, Estonian, Estonians"
Ethiopia,"Ethiopia, Ethiopian, Ethiopians"
Falkland Islands,"Falkland Islands, Falkland Island, Falkland Islanders"
Faroe Islands,"Faroe Islands, Faroese, Faroese"
Fiji,"Fiji, Fijian, Fijians"
Finland,"Finland, Finnish, Finns"
France,"France, French, Frenchmen"
French Guiana,"French Guiana, French Guianese, French Guianese"
French Polynesia,"French Polynesia, French Polynesian, French Polynesians"
French Southern Territories,"French Southern Territories, French Southern Territories, French"
Gabon,"Gabon, Gabonese, Gabonese"
The Gambia,"The Gambia, Gambian, Gambians"
Georgia,"Georgia, Georgian, Georgians"
Germany,"Germany, German, Germans"
Ghana,"Ghana, Ghanaian, Ghanaians"
Gibraltar,"Gibraltar, Gibraltar, Gibraltarians"
Great Britain,"Great Britain, British, UK, United Kingdom, Britons, British"
Greece,"Greece, Greek, Hellenic, Greeks, Hellenes"
Greenland,"Greenland, Greenlandic, Greenlanders"
Grenada,"Grenada, Grenadian, Grenadians"
Guadeloupe,"Guadeloupe, Guadeloupe, Guadeloupians"
Guam,"Guam, Guamanian, Guambat, Guamanians"
Guatemala,"Guatemala, Guatemalan, Guatemalans"
Guernsey,"Guernsey, Channel Island, Channel Islander"
Guinea,"Guinea, Guinean, Guineans"
Guinea-Bissau,"Guinea-Bissau, Bissau-Guinean, Bissau-Guineans"
Guyana,"Guyana, Guyanese, Guyanese"
Haiti,"Haiti, Haitian, Haitians"
Heard Island and McDonald Islands,"Heard Island and McDonald Islands, Heard Island or McDonald Islands"
Honduras,"Honduras, Honduran, Hondurans"
Hong Kong,"Hong Kong, Hong Kong, Hong Kongese, Hongkongers, Hong Kongese"
Hungary,"Hungary, Hungarian, Magyar, Hungarians, Magyars"
Iceland,"Iceland, Icelandic, Icelanders"
India,"India, Indian, Indians"
Indonesia,"Indonesia, Indonesian, Indonesians"
Iran,"Iran, Iranian, Persian, Iranians, Persians"
Iraq,"Iraq, Iraqi, Iraqis"
Ireland,"Ireland, Irish, Irishmen"
Isle of Man,"Isle of Man, Manx, Manx"
Israel,"Israel, Israeli, Israelis"
Italy,"Italy, Italian, Italians"
Ivory Coast,"Ivory Coast, Ivorian, Ivorians"
Jamaica,"Jamaica, Jamaican, Jamaicans"
Jan Mayen,"Jan Mayen, Jan Mayen"
Japan,"Japan, Japanese, Japanese"
Jersey,"Jersey, Channel Island, Channel Islander"
Jordan,"Jordan, Jordanian, Jordanians"
Kazakhstan,"Kazakhstan, Kazakhstani, Kazakh, Kazakhstanis, Kazakhs"
Kenya,"Kenya, Kenyan, Kenyans"
Kiribati,"Kiribati, I-Kiribati, I-Kiribati"
North Korea,"North Korea, North Korean"
South Korea,"South Korea, South Korean, Koreans"
Kosovo,"Kosovo, Kosovar, Kosovan, Kosovars"
Kuwait,"Kuwait, Kuwaiti, Kuwaitis"
Kyrgyzstan,"Kyrgyzstan, Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz, Kyrgyzstanis, Kyrgyz, Kirgiz, Kirghiz"
Laos,"Laos, Lao, Laotian, Laos, Laotians"
Latvia,"Latvia, Latvian, Latvians, Letts"
Lebanon,"Lebanon, Lebanese, Lebanese"
Lesotho,"Lesotho, Basotho, Basotho, Mosotho"
Liberia,"Liberia, Liberian, Liberians"
Libya,"Libya, Libyan, Libyans"
Liechtenstein,"Liechtenstein, Liechtenstein, Liechtensteiners"
Lithuania,"Lithuania, Lithuanian, Lithuanians"
Luxembourg,"Luxembourg, Luxembourg, Luxembourgish, Luxembourgers"
Macau,"Macau, Macanese, Chinese, Macanese"
Macedonia,"Macedonia, Macedonian, Macedonians"
Madagascar,"Madagascar, Malagasy, Malagasy"
Malawi,"Malawi, Malawian, Malawians"
Malaysia,"Malaysia, Malaysian, Malaysians"
Maldives,"Maldives, Maldivian, Maldivians"
Mali,"Mali, Malian, Malinese, Malians"
Malta,"Malta, Maltese, Maltese"
Marshall Islands,"Marshall Islands, Marshallese, Marshallese"
Martinique,"Martinique, Martiniquais, Martinican"
Mauritania,"Mauritania, Mauritanian, Mauritanians"
Mauritius,"Mauritius, Mauritian, Mauritians"
Mayotte,"Mayotte, Mahoran, Mahorans"
Mexico,"Mexico, Mexican, Mexicans"
Micronesia,"Micronesia, Micronesian, Micronesians"
Moldova,"Moldova, Moldovan, Moldovans"
Monaco,"Monaco, Monacan, Monacans"
Mongolia,"Mongolia, Mongolian, Mongolians, Mongols"
Montenegro,"Montenegro, Montenegrin, Montenegrins"
Montserrat,"Montserrat, Montserratian, Montserratians"
Morocco,"Morocco, Moroccan, Moroccans"
Mozambique,"Mozambique, Mozambican, Mozambicans"
Myanmar,"Myanmar, Burmese, Burmese, Bamar"
Namibia,"Namibia, Namibian, Namibians"
Nauru,"Nauru, Nauruan, Nauruans"
Nepal,"Nepal, Nepali, Nepalese, Nepali, Nepalese"
Netherlands,"Netherlands, Dutch, Netherlandic, Dutchmen, Netherlanders, Netherlander"
New Caledonia,"New Caledonia, New Caledonian, New Caledonians"
New Zealand,"New Zealand, New Zealand, NZ, New Zealanders"
Nicaragua,"Nicaragua, Nicaraguan, Nicaraguans"
Niger,"Niger, Nigerien, Nigeriens"
Nigeria,"Nigeria, Nigerian, Nigerians"
Niue,"Niue, Niuean, Niueans"
Norfolk Island,"Norfolk Island, Norfolk Island, Norfolk Islander"
Northern Ireland,"Northern Ireland, Northern Irish, Northern Irish"
Northern Mariana Islands,"Northern Mariana Islands, Northern Marianan, Northern Marianans"
Norway,"Norway, Norwegian, Norwegians"
Oman,"Oman, Omani, Omanis"
Pakistan,"Pakistan, Pakistani, Pakistanis"
Palau,"Palau, Palauan, Palauans"
Palestine,"Palestine, Palestinian, Palestinians"
Panama,"Panama, Panamanian, Panamanians"
Papua New Guinea,"Papua New Guinea, Papua New Guinean, Papuan, Papua New Guineans, Papuans"
Paraguay,"Paraguay, Paraguayan, Paraguayans"
Peru,"Peru, Peruvian, Peruvians"
Philippines,"Philippines, Philippine, Filipino, Filipinos, Filipinas"
Pitcairn Islands,"Pitcairn Islands, Pitcairn Island, Pitcairn Islanders"
Poland,"Poland, Polish, Poles"
Portugal,"Portugal, Portuguese, Portuguese"
Puerto Rico,"Puerto Rico, Puerto Rican, Puerto Ricans"
Qatar,"Qatar, Qatari, Qataris"
Romania,"Romania, Romanian, Romanians"
Russia,"Russia, Russian, Russians"
Rwanda,"Rwanda, Rwandan, Rwandans, Banyarwanda"
Reunion,"Reunion, Reunionese, Reunionnais, Reunionnais, Reunionnaises"
Saba,"Saba, Saba, Saba Dutch"
Saint Barthelemy,"Saint Barthelemy, Barthelemois, Barthelemoises"
Saint Helena, Ascension and Tristan da Cunha,"Saint Helena, Ascension and Tristan da Cunha, Saint Helenian, Saint Helenians"
Saint Kitts and Nevis,"Saint Kitts and Nevis, Kittitian or Nevisian, Kittitians or Nevisians"
Saint Lucia,"Saint Lucia, Saint Lucian, Saint Lucians"
Saint Martin,"Saint Martin, Saint-Martinoise"
Saint Pierre and Miquelon,"Saint Pierre and Miquelon, Saint-Pierrais or Miquelonnais"
Saint Vincent and the Grenadines,"Saint Vincent and the Grenadines, Saint Vincentian, Vincentian, Saint Vincentians, Vincentians"
Samoa,"Samoa, Samoan, Samoans"
San Marino,"San Marino, Sammarinese, Sammarinese"
Saudi Arabia,"Saudi Arabia, Saudi, Saudi Arabian, Saudis, Saudi Arabians"
Scotland,"Scotland, Scots, Scottish"
Senegal,"Senegal, Senegalese, Senegalese"
Serbia,"Serbia, Serbian, Serbs, Serbians"
Seychelles,"Seychelles, Seychellois, Seychelloises"
Sierra Leone,"Sierra Leone, Sierra Leonean, Sierra Leoneans"
Singapore,"Singapore, Singapore, Singaporean, Singaporeans"
Sint Eustatius,"Sint Eustatius, Sint Eustatius, Statian, Statians"
Sint Maarten,"Sint Maarten, Sint Maarten, Sint Maartener"
Slovakia,"Slovakia, Slovak, Slovaks"
Slovenia,"Slovenia, Slovenian, Slovene, Slovenes, Slovenians"
Solomon Islands,"Solomon Islands, Solomon Island, Solomon Islanders"
Somalia,"Somalia, Somali, Somalian, Somalis, Somalians"
South Africa,"South Africa, South African, South Africans"
South Georgia and the South Sandwich Islands,"South Georgia and the South Sandwich Islands, South Georgia, South Sandwich Islands"
South Ossetia,"South Ossetia, South Ossetian, South Ossetians"
South Sudan,"South Sudan, South Sudanese, South Sudanese"
Spain,"Spain, Spanish, Spaniards"
Sri Lanka,"Sri Lanka, Sri Lankan, Sri Lankans"
Sudan,"Sudan, Sudanese, Sudanese"
Surinam,"Surinam, Surinamese, Surinamers"
Svalbard,"Svalbard, Svalbard"
Swaziland,"Swaziland, Swazi, Swazis"
Sweden,"Sweden, Swedish, Swedes"
Switzerland,"Switzerland, Swiss, Swiss"
Syria,"Syria, Syrian, Syrians"
Taiwan,"Taiwan, Chinese, Taiwanese, Chinese, Taiwanese"
Tajikistan,"Tajikistan, Tajikistani, Tajikistanis, Tajiks"
Tanzania,"Tanzania, Tanzanian, Tanzanians"
Thailand,"Thailand, Thai, Thai"
Timor-Leste,"Timor-Leste, Timorese, Timorese"
Togo,"Togo, Togolese, Togolese"
Tokelau,"Tokelau, Tokelauan, Tokelauans"
Tonga,"Tonga, Tongan, Tongans"
Trinidad and Tobago,"Trinidad and Tobago, Trinidadian or Tobagonian, Trinidadians, Tobagonians"
Tunisia,"Tunisia, Tunisian, Tunisians"
Turkey,"Turkey, Turkish, Turks"
Turkmenistan,"Turkmenistan, Turkmen, Turkmens"
Turks and Caicos Islands,"Turks and Caicos Islands, Turks and Caicos Island"
Tuvalu,"Tuvalu, Tuvaluan, Tuvaluans"
Uganda,"Uganda, Ugandan, Ugandans"
Ukraine,"Ukraine, Ukrainian, Ukrainians"
United Arab Emirates,"United Arab Emirates, Emirati, Emirian, Emiri, Emiratis, Emirians, Emiri"
United Kingdom,"United Kingdom, British, UK, Britons, British"
United States,"United States, United States, US, American, U.S, U.S., Americans"
Uruguay,"Uruguay, Uruguayan, Uruguayans"
Uzbekistan,"Uzbekistan, Uzbekistani, Uzbek, Uzbekistanis, Uzbeks"
Vanuatu,"Vanuatu, Ni-Vanuatu, Vanuatuan, Ni-Vanuatu"
Vatican City State,"Vatican City State, Vatican, Vatican citizens"
Venezuela,"Venezuela, Venezuelan, Venezuelans"
Vietnam,"Vietnam, Vietnamese, Vietnamese"
Virgin Islands, British,"Virgin Islands, British, British Virgin Island, British Virgin Islanders"
Virgin Islands, United States,"Virgin Islands, United States, U.S. Virgin Island, U.S. Virgin Islanders"
Wales,"Wales, Welsh, Welshmen"
Western Sahara,"Western Sahara, Sahrawi, Sahrawian, Sahraouian, Sahrawis, Sahraouis"
Yemen,"Yemen, Yemeni, Yemenis"
Zambia,"Zambia, Zambian, Zambians"
Zimbabwe,"Zimbabwe, Zimbabwean, Zimbabweans"
èland Islands,"èland Islands, èland Island, èland Islanders"
